profile,mode,simulation_tick,in_game_day,avg_tick_ms,p95_tick_ms,avg_frame_ms,p95_frame_ms,memory_rss_mb,entity_count,active_entity_count,pending_event_count,event_trace_len,input_log_len,combat_log_len,feedback_queue_len,world_signals_count,world_tracks_count,world_spawn_descriptors_count,pending_offers_count,encounter_control_count,save_file_size,draw_visible_entities_count,draw_visible_cells_count,full_world_scan_count
core_playable,headless,240,1,0.17345242913885764,0.24608140070085938,,,,1,1,1,48,0,0,0,0,0,0,0,0,93437,,,
core_playable,headless,480,2,0.17051021245606535,0.25063709981623106,,,,1,1,1,96,0,0,0,0,0,0,0,0,109997,,,
core_playable,headless,720,3,0.2113241499804038,0.32467535020259675,,,,1,1,1,144,0,0,0,0,0,0,0,0,126603,,,
core_playable,headless,960,4,0.21502799166910336,0.33591745045669086,,,,1,1,1,192,0,0,0,0,0,0,0,0,143212,,,
core_playable,headless,1200,5,0.18670595416476013,0.27249630011283443,,,,1,1,1,240,0,0,0,0,0,0,0,0,159885,,,
core_playable,headless,1440,6,0.2131154749728618,0.32290015024045715,,,,1,1,1,256,0,0,0,0,0,0,0,0,165567,,,
core_playable,headless,1680,7,0.1920707499986444,0.3046078503757599,,,,1,1,1,256,0,0,0,0,0,0,0,0,165687,,,
core_playable,headless,1920,8,0.19411723750787738,0.3228648997264827,,,,1,1,1,256,0,0,0,0,0,0,0,0,165778,,,
core_playable,headless,2160,9,0.19970045835104125,0.3621695501351496,,,,1,1,1,256,0,0,0,0,0,0,0,0,165850,,,
core_playable,headless,2400,10,0.2138733208615425,0.366371399786658,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,2640,11,0.17103971253315345,0.2655371003129403,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,2880,12,0.20346852082487507,0.34951695042764186,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,3120,13,0.1703822333865901,0.25159095043818525,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,3360,14,0.24238446671536926,0.38293899929158215,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,3600,15,0.21280407498428153,0.3648728497864795,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,3840,16,0.17217281664443362,0.26956705032716854,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,4080,17,0.19688414996987072,0.3257506506088248,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,4320,18,0.18558930002730753,0.30884059992786206,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,4560,19,0.23350924581867125,0.3290868008207326,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,4800,20,0.17925380415893719,0.261125000042739,,,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,headless,5040,21,0.17321283335149928,0.24145945026248228,,,,1,1,1,256,0,0,0,0,0,0,0,0,165896,,,
core_playable,headless,5280,22,0.18041904580741175,0.2771506498902454,,,,1,1,1,256,0,0,0,0,0,0,0,0,165944,,,
core_playable,headless,5520,23,0.209052370818578,0.32966205071716104,,,,1,1,1,256,0,0,0,0,0,0,0,0,165992,,,
core_playable,headless,5760,24,0.18781814166762464,0.2873916002045007,,,,1,1,1,256,0,0,0,0,0,0,0,0,166041,,,
core_playable,headless,6000,25,0.18630904580353067,0.28622440022445517,,,,1,1,1,256,0,0,0,0,0,0,0,0,166089,,,
core_playable,headless,6240,26,0.2129415208097877,0.37772094951833424,,,,1,1,1,256,0,0,0,0,0,0,0,0,166137,,,
core_playable,headless,6480,27,0.19904024166332115,0.3399001996967854,,,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,headless,6720,28,0.16786990833376572,0.24128775071403652,,,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,headless,6960,29,0.1875663124830377,0.28673255037574563,,,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,headless,7200,30,0.203377183364258,0.3194059999714227,,,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,viewer_runtime,240,1,0.18503765417108298,0.2777365999918402,0.26715129164358586,0.4630535004707781,,1,1,1,48,0,0,0,0,0,0,0,0,93437,,,
core_playable,viewer_runtime,480,2,0.19356468332034638,0.28054850058651937,0.6967597416974058,0.9451002993500879,,1,1,1,96,0,0,0,0,0,0,0,0,109997,,,
core_playable,viewer_runtime,720,3,0.19284323332537193,0.27591550046963675,1.0810427500132391,1.3101047500640561,,1,1,1,144,0,0,0,0,0,0,0,0,126603,,,
core_playable,viewer_runtime,960,4,0.19145699999019902,0.28433204961402225,1.4776932125490323,1.7587600995284447,,1,1,1,192,0,0,0,0,0,0,0,0,143212,,,
core_playable,viewer_runtime,1200,5,0.21936500420072966,0.32594650037935935,2.036434558287207,2.7972258998033794,,1,1,1,240,0,0,0,0,0,0,0,0,159885,,,
core_playable,viewer_runtime,1440,6,0.22108990414911509,0.34198934945379733,2.362261912495948,3.206925950235018,,1,1,1,256,0,0,0,0,0,0,0,0,165567,,,
core_playable,viewer_runtime,1680,7,0.22303683748911377,0.37452420010595233,2.468402791676757,3.5914241000682523,,1,1,1,256,0,0,0,0,0,0,0,0,165687,,,
core_playable,viewer_runtime,1920,8,0.21997515830965617,0.3372926503743656,2.393619866654717,3.224843249654441,,1,1,1,256,0,0,0,0,0,0,0,0,165778,,,
core_playable,viewer_runtime,2160,9,0.21505776665359613,0.32752365004853345,2.36380790831466,3.1376795996493456,,1,1,1,256,0,0,0,0,0,0,0,0,165850,,,
core_playable,viewer_runtime,2400,10,0.24667695415322063,0.3632863501479733,2.6761631416585865,3.9324449001469475,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,2640,11,0.281210099975245,0.4520531006164674,3.1252501834160284,4.379278049964341,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,2880,12,0.2738897249741967,0.4708603003564349,3.1238933708057934,4.37697764987206,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,3120,13,0.2098137625049882,0.3031050002846314,2.3020605999893937,2.771945249651253,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,3360,14,0.2172814832988479,0.3257530999235314,2.3697570458352857,3.001470449999033,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,3600,15,0.21137183751231228,0.327610500062292,2.2923728583312672,2.8475472501213517,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,3840,16,0.2242196499992133,0.3677734996927029,2.3986422874903233,3.266724450259062,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,4080,17,0.2188770500197279,0.3334925993840443,2.335673850010759,2.7403620499626413,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,4320,18,0.24626870830388725,0.41329784994559304,2.612260104156879,3.8565519500934897,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,4560,19,0.2193057791752532,0.31659379947086563,2.376928329185072,2.986123750679326,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,4800,20,0.2618797666931035,0.45136885019019246,2.870172004175705,4.19506180001008,,1,1,1,256,0,0,0,0,0,0,0,0,165886,,,
core_playable,viewer_runtime,5040,21,0.24213787919128058,0.3728295502241963,2.671949504178883,4.108090800082209,,1,1,1,256,0,0,0,0,0,0,0,0,165896,,,
core_playable,viewer_runtime,5280,22,0.25095182501975916,0.42717660030575644,2.7288389166831926,3.981198799328922,,1,1,1,256,0,0,0,0,0,0,0,0,165944,,,
core_playable,viewer_runtime,5520,23,0.24779605001488866,0.403356050264847,2.63392702498777,3.7602833992878004,,1,1,1,256,0,0,0,0,0,0,0,0,165992,,,
core_playable,viewer_runtime,5760,24,0.24065459999746963,0.37740785069217964,2.611558737536749,3.8679958502143563,,1,1,1,256,0,0,0,0,0,0,0,0,166041,,,
core_playable,viewer_runtime,6000,25,0.2050764999732261,0.3232285997910367,2.2389117416347895,2.627123799720721,,1,1,1,256,0,0,0,0,0,0,0,0,166089,,,
core_playable,viewer_runtime,6240,26,0.2167776333559838,0.32638035008858424,2.3847079833368903,3.160368449607631,,1,1,1,256,0,0,0,0,0,0,0,0,166137,,,
core_playable,viewer_runtime,6480,27,0.23845507501315902,0.35726555051951436,2.582963025004877,4.321766199427657,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,viewer_runtime,6720,28,0.2554185833446354,0.41829119945759885,2.6725454875266528,4.138352099562326,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,viewer_runtime,6960,29,0.23148979586646115,0.3575468999770237,2.5129312416728076,3.6607632501727494,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
core_playable,viewer_runtime,7200,30,0.23722710002023936,0.3631509499882668,2.5619894666912537,3.7620350002271152,,1,1,1,256,0,0,0,0,0,0,0,0,166144,,,
experimental_world,headless,240,1,0.24455563753917886,0.3810696501204802,,,,1,1,3,256,0,0,0,0,0,0,0,0,142960,,,
experimental_world,headless,480,2,0.2303938499646089,0.3174483494149172,,,,1,1,3,256,0,0,0,0,0,0,0,0,144138,,,
experimental_world,headless,720,3,0.24115041253859695,0.34842070003833214,,,,1,1,3,256,0,0,0,0,0,0,0,0,143782,,,
experimental_world,headless,960,4,0.26574464168713047,0.405057549915,,,,1,1,3,256,0,0,0,0,0,0,0,0,143979,,,
experimental_world,headless,1200,5,0.24128570836789245,0.34754685020743636,,,,1,1,3,256,0,0,0,0,0,0,0,0,145210,,,
experimental_world,headless,1440,6,0.2414963083197108,0.33662080004432937,,,,1,1,3,256,0,0,0,0,0,0,0,0,144320,,,
experimental_world,headless,1680,7,0.25413674165974953,0.3832033501112164,,,,1,1,3,256,0,0,0,0,0,0,0,0,144338,,,
experimental_world,headless,1920,8,0.24113917087333903,0.34267769970028894,,,,1,1,3,256,0,0,0,0,0,0,0,0,141906,,,
experimental_world,headless,2160,9,0.22648144997674535,0.31570995010952174,,,,1,1,3,256,0,0,0,0,0,0,0,0,144335,,,
experimental_world,headless,2400,10,0.23969712504291843,0.35378810021029494,,,,1,1,3,256,0,0,0,0,0,0,0,0,145214,,,
experimental_world,headless,2640,11,0.23084318753490152,0.32207460035351687,,,,1,1,3,256,0,0,0,0,0,0,0,0,145208,,,
